generated_at,ticker,recommendation,tactical_signal,investment_view,conviction_level,signal_score,adjusted_signal_score,confidence,model_quality_score,macro_regime,headline_count,confident_headline_count,top_positive_keywords,top_negative_keywords,drivers,risk_flags,source_breakdown,reasoning
2026-03-10T23:29:14.716109+00:00,OXY,BUY,BUY,NEGATIVE,MEDIUM,0.6632,0.6432,0.959,3.96,risk_off,10,10,"rallies, outperforms","dive, risks",Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"1 of 10 confident headlines classified positive, 5 negative, 4 neutral (overall sentiment: negative). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 5 negative headline(s) countering 1 positive one(s). Lexicon detected bullish signals: rallies, outperforms (lexicon score: -0.05). Lexicon detected bearish signals: dive, risks (lexicon score: -0.05). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.663."
2026-03-10T23:21:50.318927+00:00,TXN,HOLD,HOLD,NEGATIVE,LOW,0.4341,0.3141,0.9435,3.96,risk_off,230,211,"surge, jumped, boom, outperforms, oversubscribed",lawsuit,Positive news sentiment (81/211 confident headlines) | Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 220, 'yahoo_finance': 10}","81 of 211 confident headlines classified positive, 32 negative, 98 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'goog' detected (historically negative avg CAR=-0.38%). Signal partially dampened by 32 negative headline(s) countering 81 positive one(s). Lexicon detected bullish signals: surge, jumped, boom (lexicon score: +0.02). Lexicon detected bearish signals: lawsuit (lexicon score: +0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.434."
2026-03-10T23:23:34.995866+00:00,SCHW,HOLD,HOLD,NEGATIVE,MEDIUM,0.3062,0.1862,0.9399,3.96,risk_off,10,9,"expands, rally, revenue growth, upgrades","volatility, warning",Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"2 of 9 confident headlines classified positive, 3 negative, 4 neutral (overall sentiment: negative). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 3 negative headline(s) countering 2 positive one(s). Lexicon detected bullish signals: expands, rally, revenue growth (lexicon score: +0.09). Lexicon detected bearish signals: volatility, warning (lexicon score: +0.09). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.306."
2026-03-10T23:24:19.713115+00:00,UNH,HOLD,HOLD,NEGATIVE,LOW,0.2825,0.2625,0.9443,3.96,risk_off,233,209,"surge, rally, expands, beats estimates, climbs","fraud, avoid, slump, weak guidance, pressure",Positive news sentiment (81/209 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 223, 'yahoo_finance': 10}","81 of 209 confident headlines classified positive, 65 negative, 63 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 65 negative headline(s) countering 81 positive one(s). Lexicon detected bullish signals: surge, rally, expands (lexicon score: -0.03). Lexicon detected bearish signals: fraud, avoid, slump (lexicon score: -0.03). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.283."
2026-03-10T23:28:50.813232+00:00,CVX,HOLD,HOLD,NEGATIVE,LOW,0.2741,0.2541,0.9427,3.96,risk_off,231,212,"surge, expands, upgrade, surges, upgrades","warns, risks, dive, threaten, warning",Positive news sentiment (95/212 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: +0.10,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 221, 'yahoo_finance': 10}","95 of 212 confident headlines classified positive, 41 negative, 76 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'auto' detected (historically negative avg CAR=-0.69%). Signal partially dampened by 41 negative headline(s) countering 95 positive one(s). Lexicon detected bullish signals: surge, expands, upgrade (lexicon score: +0.00). Lexicon detected bearish signals: warns, risks, dive (lexicon score: +0.00). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.274."
2026-03-10T23:27:45.595535+00:00,F,HOLD,HOLD,NEGATIVE,LOW,0.2408,0.0208,0.932,3.96,risk_off,213,194,"special dividend, expands","recall, sank, suspended, at risk, threatens",Positive news sentiment (43/194 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Volatility Spike Liquidity Premium Rises — Risk-off environment | Inflation Pressure — Brent crude supply disruption | safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 203, 'yahoo_finance': 10}","43 of 194 confident headlines classified positive, 38 negative, 113 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'auto' detected (historically negative avg CAR=-0.69%). Signal partially dampened by 38 negative headline(s) countering 43 positive one(s). Lexicon detected bullish signals: special dividend, expands (lexicon score: -0.03). Lexicon detected bearish signals: recall, sank, suspended (lexicon score: -0.03). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.241."
2026-03-10T23:29:37.403375+00:00,UPS,HOLD,HOLD,NEGATIVE,LOW,0.2406,0.1206,0.9414,3.96,risk_off,211,183,"beat, price target increase, target on, upgraded, surge","crash, layoffs, lawsuit, risks, concerns",Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 201, 'yahoo_finance': 10}","44 of 183 confident headlines classified positive, 58 negative, 81 neutral (overall sentiment: negative). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'upgraded' detected (historically positive avg CAR=+0.38%). Signal partially dampened by 58 negative headline(s) countering 44 positive one(s). Lexicon detected bullish signals: beat, price target increase, target on (lexicon score: -0.03). Lexicon detected bearish signals: crash, layoffs, lawsuit (lexicon score: -0.03). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.241."
2026-03-10T23:26:06.064126+00:00,PEP,HOLD,HOLD,NEGATIVE,MEDIUM,0.1891,0.0691,0.9725,3.96,risk_off,10,9,expands,fears,Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,{'yahoo_finance': 10},"3 of 9 confident headlines classified positive, 3 negative, 3 neutral (overall sentiment: mixed). Highest-credibility source: yahoo_finance (weight=0.7). Signal partially dampened by 3 negative headline(s) countering 3 positive one(s). Lexicon detected bullish signals: expands (lexicon score: +0.00). Lexicon detected bearish signals: fears (lexicon score: +0.00). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.189."
2026-03-10T23:21:24.720705+00:00,ADBE,HOLD,HOLD,NEGATIVE,LOW,0.1883,-0.0317,0.9452,3.96,risk_off,251,228,"upgrade, earnings growth, accelerates, outperform rating, strong results","uncertainty, downgraded, lawsuit, fears, drops",Positive news sentiment (59/228 confident headlines) | Macro regime (risk_off): -0.12 | Sector transmission exposure: -0.10,Volatility Spike Liquidity Premium Rises — Risk-off environment | safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 241, 'yahoo_finance': 10}","59 of 228 confident headlines classified positive, 42 negative, 127 neutral (overall sentiment: positive). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'adobe' detected (historically negative avg CAR=-1.51%). Signal partially dampened by 42 negative headline(s) countering 59 positive one(s). Lexicon detected bullish signals: upgrade, earnings growth, accelerates (lexicon score: +0.00). Lexicon detected bearish signals: uncertainty, downgraded, lawsuit (lexicon score: +0.00). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.188."
2026-03-10T23:31:30.909399+00:00,FOXA,HOLD,HOLD,NEGATIVE,LOW,0.1746,0.0546,0.9418,3.96,risk_off,179,159,"expands, upgraded, surge, rally, outperforming","lawsuit, downgraded, warns, volatility, downgrades",Macro regime (risk_off): -0.12,safe haven bid equity selling | yields rise consumer spending falls,"{'gdelt': 169, 'yahoo_finance': 10}","43 of 159 confident headlines classified positive, 48 negative, 68 neutral (overall sentiment: negative). Highest-credibility source: yahoo_finance (weight=0.7). Keyword 'upgraded' detected (historically positive avg CAR=+0.38%). Signal partially dampened by 48 negative headline(s) countering 43 positive one(s). Lexicon detected bullish signals: expands, upgraded, surge (lexicon score: -0.02). Lexicon detected bearish signals: lawsuit, downgraded, warns (lexicon score: -0.02). Mixed lexicon signals — both bullish and bearish phrases present. Composite signal score: +0.175."
