date,ticker,headline,source
2023-12-30,TSLA,TSLA profit margins under pressure,fnspid
2023-12-26,AAPL,AAPL misses revenue estimates by 8%,fnspid
2023-12-25,AMZN,AMZN faces SEC investigation over accounting,fnspid
2023-12-23,META,META announces share buyback programme,fnspid
2023-12-19,TSLA,TSLA faces antitrust investigation,fnspid
2023-12-17,TSLA,TSLA faces antitrust investigation,fnspid
2023-12-15,META,META announces share buyback programme,fnspid
2023-12-15,AMZN,AMZN misses revenue estimates by 8%,fnspid
2023-12-12,AMZN,AMZN beats earnings expectations,fnspid
2023-12-09,MSFT,MSFT shares fall on weak guidance,fnspid
2023-12-09,MSFT,MSFT faces antitrust investigation,fnspid
2023-12-08,NVDA,NVDA announces major cost cutting programme,fnspid
2023-12-05,GS,GS announces share buyback programme,fnspid
2023-12-04,META,META profit margins under pressure,fnspid
2023-12-04,META,META stock upgraded by Goldman Sachs,fnspid
2023-12-03,NVDA,NVDA announces share buyback programme,fnspid
2023-12-02,AMZN,AMZN profit margins under pressure,fnspid
2023-12-02,JPM,JPM stock upgraded by Goldman Sachs,fnspid
2023-11-28,GOOGL,GOOGL announces major cost cutting programme,fnspid
2023-11-27,NVDA,NVDA beats earnings expectations,fnspid
2023-11-26,META,META faces SEC investigation over accounting,fnspid
2023-11-23,GS,GS misses revenue estimates by 8%,fnspid
2023-11-22,MSFT,MSFT announces share buyback programme,fnspid
2023-11-22,GS,GS stock upgraded by Goldman Sachs,fnspid
2023-11-18,NVDA,NVDA profit margins under pressure,fnspid
2023-11-18,TSLA,TSLA CEO resigns amid restructuring,fnspid
2023-11-17,GOOGL,GOOGL cuts dividend amid cash concerns,fnspid
2023-11-17,BAC,BAC announces major cost cutting programme,fnspid
2023-11-16,BAC,BAC CEO resigns amid restructuring,fnspid
2023-11-16,META,META shares fall on weak guidance,fnspid
2023-11-15,NVDA,NVDA reports record quarterly earnings,fnspid
2023-11-14,NVDA,NVDA faces SEC investigation over accounting,fnspid
2023-11-12,AMZN,AMZN beats earnings expectations,fnspid
2023-11-11,META,META CEO resigns amid restructuring,fnspid
2023-11-11,BAC,BAC beats earnings expectations,fnspid
2023-11-11,NVDA,NVDA faces SEC investigation over accounting,fnspid
2023-11-11,JPM,JPM completes acquisition of rival firm,fnspid
2023-11-10,TSLA,TSLA misses revenue estimates by 8%,fnspid
2023-11-10,TSLA,TSLA faces SEC investigation over accounting,fnspid
2023-11-09,MSFT,MSFT reports record quarterly earnings,fnspid
2023-11-08,AMZN,AMZN faces SEC investigation over accounting,fnspid
2023-11-07,META,META shares fall on weak guidance,fnspid
2023-11-06,AAPL,AAPL stock upgraded by Goldman Sachs,fnspid
2023-11-05,MSFT,MSFT beats earnings expectations,fnspid
2023-11-03,AMZN,AMZN raises full year guidance,fnspid
2023-11-03,GS,GS announces share buyback programme,fnspid
2023-11-02,BAC,BAC stock upgraded by Goldman Sachs,fnspid
2023-11-01,JPM,JPM shares fall on weak guidance,fnspid
2023-10-30,MSFT,MSFT reports record quarterly earnings,fnspid
2023-10-30,MSFT,MSFT announces major cost cutting programme,fnspid
2023-10-28,BAC,BAC profit margins under pressure,fnspid
2023-10-28,AMZN,AMZN reports stronger than expected revenue,fnspid
2023-10-26,TSLA,TSLA misses revenue estimates by 8%,fnspid
2023-10-23,GOOGL,GOOGL profit margins under pressure,fnspid
2023-10-23,NVDA,NVDA faces antitrust investigation,fnspid
2023-10-21,AAPL,AAPL misses revenue estimates by 8%,fnspid
2023-10-21,TSLA,TSLA beats earnings expectations,fnspid
2023-10-19,JPM,JPM CEO resigns amid restructuring,fnspid
2023-10-19,JPM,JPM announces major cost cutting programme,fnspid
2023-10-18,JPM,JPM faces antitrust investigation,fnspid
2023-10-17,AMZN,AMZN profit margins under pressure,fnspid
2023-10-17,JPM,JPM stock upgraded by Goldman Sachs,fnspid
2023-10-15,AMZN,AMZN stock upgraded by Goldman Sachs,fnspid
2023-10-13,MSFT,MSFT shares fall on weak guidance,fnspid
2023-10-11,BAC,BAC misses revenue estimates by 8%,fnspid
2023-10-06,JPM,JPM stock upgraded by Goldman Sachs,fnspid
2023-10-05,MSFT,MSFT raises full year guidance,fnspid
2023-10-03,JPM,JPM announces major cost cutting programme,fnspid
2023-10-01,JPM,JPM CEO resigns amid restructuring,fnspid
2023-09-27,META,META reports record quarterly earnings,fnspid
2023-09-18,AMZN,AMZN cuts dividend amid cash concerns,fnspid
2023-09-17,GS,GS faces antitrust investigation,fnspid
